O programa deu esses logs: 2026-03-29 10:39:57,851 | filter | FILTER BTCUSDT | adx=22.77893164814755 apt=True atr_pct=0.10385125464784306 last_price=66561.6 liquidity_quote_sum=237499.99983897601 quote_volume_24h=671640556.296406 range_atr_ratio=8.24983048277411
2026-03-29 10:39:58,053 | filter | FILTER BTCUSDT | adx=25.089389647691377 apt=True atr_pct=0.08758584804521935 last_price=66422.3 liquidity_quote_sum=237499.99965427403 quote_volume_24h=590427362.2890178 range_atr_ratio=6.028719337280172
2026-03-29 10:39:58,058 | filter | FILTER BTCUSDT | adx=25.388166790392 apt=True atr_pct=0.09531144054466466 last_price=66536.38 liquidity_quote_sum=237499.99956033158 quote_volume_24h=586172543.8601282 range_atr_ratio=5.598202673237967
2026-03-29 10:39:58,064 | filter | FILTER BTCUSDT | adx=25.665602708614003 apt=True atr_pct=0.09247308526718334 last_price=66545.09 liquidity_quote_sum=237499.99982867576 quote_volume_24h=586269698.3571154 range_atr_ratio=5.769277850558904
2026-03-29 10:39:58,067 | filter | FILTER BTCUSDT | adx=25.287686778261477 apt=True atr_pct=0.09083820645620945 last_price=66552.54 liquidity_quote_sum=237499.99987211401 quote_volume_24h=586383507.2570307 range_atr_ratio=5.872454138266812
2026-03-29 10:39:58,072 | filter | FILTER BTCUSDT | adx=24.936764842934128 apt=True atr_pct=0.08813577127132359 last_price=66538.31 liquidity_quote_sum=237500.00060281297 quote_volume_24h=586618386.6236697 range_atr_ratio=6.053810806002952
2026-03-29 10:39:58,076 | filter | FILTER BTCUSDT | adx=25.18911887148822 apt=True atr_pct=0.08763356128391155 last_price=66502.79 liquidity_quote_sum=237500.00007768458 quote_volume_24h=586583686.8730376 range_atr_ratio=6.091755904254752
2026-03-29 10:39:58,082 | filter | FILTER BTCUSDT | adx=23.762314069645182 apt=True atr_pct=0.10035198211469568 last_price=66682.0 liquidity_quote_sum=237500.00043924 quote_volume_24h=587904456.4616853 range_atr_ratio=5.3054013986076605
2026-03-29 10:39:58,086 | filter | FILTER BTCUSDT | adx=24.329435746298934 apt=True atr_pct=0.11385732392947262 last_price=66771.99 liquidity_quote_sum=237499.9998607134 quote_volume_24h=589865176.8823676 range_atr_ratio=5.827045838638221
2026-03-29 10:39:58,090 | filter | FILTER BTCUSDT | adx=24.856048731763128 apt=True atr_pct=0.11254782472759844 last_price=66767.96 liquidity_quote_sum=237499.99937730643 quote_volume_24h=590414696.761358 range_atr_ratio=5.895199592062716
2026-03-29 10:39:58,094 | filter | FILTER BTCUSDT | adx=25.05100796473011 apt=True atr_pct=0.11212636172591245 last_price=66810.88 liquidity_quote_sum=237500.00036741124 quote_volume_24h=591269159.8503928 range_atr_ratio=5.91355722388424
